wd;ws
1;1,1
1;3,7
1;2
1;0
1;0
1;1,5
1;0,8
1;0
1;0,1
1;0
1;0
1;0
1;0
1;0
1;0,2
1;2,8
1;2,4
1;0,1
1;2,3
1;0
1;0
1;0
1;0
1;0
1;0,2
2;0,8
2;0,1
2;1,7
2;5,1
2;2,3
2;1,3
2;0,3
2;2,7
2;0
2;0
2;0
2;0
2;0
2;1,4
2;0
2;1,9
2;2,5
2;0
2;0
2;0,1
2;1,8
2;0
2;0
2;0
2;0
2;0
2;0
3;2,1
3;3,3
3;2,2
3;1,4
3;1,7
3;0
3;3,4
3;2,4
3;0
3;2,6
3;0,2
3;2,9
3;0
3;0
3;0
3;0
3;4,1
3;4,1
3;0
3;0
3;0
4;2,4
4;2,8
4;1
4;1,5
4;0
4;1,6
4;0
4;0
4;0
4;0
4;1
4;0,7
4;0
4;1,5
4;3
4;2,2
4;2,9
4;0
4;0
4;0
4;0,9
4;1,7
4;1,2
4;1,5
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
5;2,3
5;0,9
5;2,7
5;2,4
5;1,1
5;0,6
5;0,8
5;2,2
5;0,3
5;2,7
5;0
5;0,9
5;0,1
5;0,9
5;1,2
5;0
5;0
5;0,1
5;1,5
5;2,1
5;0
5;0
5;0
5;0
5;0
6;2,6
6;1,1
6;3,4
6;0
6;0
6;0
6;1,9
6;0
6;1
6;2,7
6;1
6;0
6;4,1
6;0,7
7;6,7
7;1
7;1,7
7;4,8
7;2,5
7;0,7
7;1,4
7;1,5
7;0
7;3,8
7;0
7;0
7;0
7;0
7;0
7;0,8
7;0
7;0
7;0,2
7;0
8;1,8
8;1,1
8;0
8;2,5
8;0
8;0
8;1,8
8;2,1
8;0
8;0
8;0
8;1,7
8;2,7
8;0,4
8;0
8;0
8;0
9;1,2
9;2,7
9;2
9;1,5
9;0,1
9;2,1
9;0
9;2
9;0
9;2,1
9;0
9;0
9;0
9;1,3
9;1,8
9;1,8
9;0
9;0
9;0
9;0
9;0
9;0
10;1,3
10;1,9
10;0,1
10;1,5
10;0,8
10;0
10;0,2
10;0
10;0,2
10;0
10;0
10;0
10;0,7
10;0
10;5,6
10;2,1
10;1,6
10;1,5
10;0
10;1,5
10;0
10;0
10;0
10;0
11;0
11;2,4
11;2,4
11;0
11;0,3
11;0
11;0
11;0
11;0
11;1
11;0
11;0
11;0
11;0
11;0
11;0,2
11;0,9
11;0
11;0
11;0
11;0
11;0
11;0,5
11;0
12;2,1
12;1,3
12;0
12;0
12;0
12;1,5
12;1
12;3
12;2,5
12;2,7
12;3,1
12;0
12;2
12;1,6
12;0
12;0
12;0
12;0,1
12;0,1
12;0
12;0
13;1,2
13;1,4
13;0
13;3,7
13;0,5
13;0
13;1,3
13;1,4
13;1,8
13;0,8
13;4,5
13;0
13;0
13;0
13;0
13;0,9
13;1,5
13;1,5
13;0
13;1,7
13;0
13;0
13;1,4
13;0
13;0
13;0
13;0
14;0,1
14;0,7
14;0
14;0,1
14;0
14;0,9
14;1,9
14;0
14;0
14;1,4
14;0
14;0
14;1,2
14;1
14;1,7
14;2,1
14;2,1
14;4,7
14;0
14;0
14;0
14;0
14;0,4
14;0
14;0
14;0
14;0
14;0
14;0,3
15;2,1
15;0,1
15;0
15;1,3
15;1,5
15;3,3
15;0
15;2,3
15;1,8
15;0
15;0
15;1,3
15;0
15;0
15;0
15;2,2
15;2,1
15;2
15;0
15;0
15;0
15;0
15;0
15;0
16;3,2
16;0,1
16;3,4
16;0,1
16;0
16;2,5
16;0,9
16;0
16;0,6
16;0
16;0
16;0
16;0
16;0
16;3,6
16;0
16;0
16;0
16;0
16;0,2
16;0
16;0
16;0
16;0
16;0
16;0
17;0,4
17;0
17;1
17;0
17;1,5
17;1,8
17;0
17;0
17;2,8
17;0,6
17;5,1
17;1,2
17;0
17;0
17;2,7
17;2,3
17;2,1
17;0
17;0,7
17;1,3
17;2,2
17;2,2
17;1,7
17;2
17;1,1
17;0
18;0,8
18;0,4
18;1,7
18;2,9
18;1,3
18;1
18;0,8
18;0
18;1,4
18;0
18;1,6
18;1,9
18;0
18;3,3
18;0
18;2,1
18;1,6
18;0
18;1,7
18;0,5
18;0
18;1,7
18;0
18;0
18;0
18;0
18;1,3
19;2,2
19;1,8
19;1
19;0,9
19;2,9
19;0
19;2,4
19;0
19;0,6
19;2,7
19;0
19;0
19;0
19;0
19;0
19;1,5
19;0
19;0
19;0,2
19;0
20;1,2
20;3,7
20;0,3
20;0,5
20;0,7
20;0,4
20;0,1
20;0
20;1,7
20;1,9
20;1,2
20;0
20;2,2
20;1,7
20;1,1
20;1,4
20;0
20;0
20;0
20;0,6
20;0,2
21;0,2
21;0,6
21;0,7
21;1,5
21;1,4
21;1,7
21;0
21;0
21;0,2
21;0
21;0,8
21;0,2
21;4,4
21;2,2
21;2,8
21;0
21;0
21;0
21;0
22;2,2
22;0,9
22;0
22;1,4
22;0,1
22;0,6
22;0
22;2
22;0
22;0,8
22;0,1
22;0
22;0
22;0
22;0
22;1,7
22;0
22;0
22;0
22;0
22;0,4
22;0
23;1
23;0,9
23;0,2
23;1,7
23;0,1
23;2
23;0
23;0,3
23;1,5
23;0
23;0
23;0,1
23;1,9
23;1,1
23;2,9
23;0
23;0
23;0
23;1,1
23;0
23;0
23;0,2
23;0,1
23;0
24;1,2
24;2,2
24;2,4
24;0,3
24;2,4
24;0
24;1,1
24;1,1
24;0
24;0
24;3
24;0
24;0
24;0,8
24;0
24;0
24;0
24;1,7
24;0
24;0
24;0
24;0
24;0,2
25;2,9
25;1,4
25;1,8
25;0
25;0
25;2,3
25;0
25;1,6
25;0
25;0
25;0
25;1,5
25;1,1
25;0
25;0
25;0
25;0
25;1,2
25;1,1
25;0,3
25;0
25;0
25;0,1
25;0
25;0
25;0
25;0
25;0,1
26;1,7
26;0,9
26;1,2
26;1,9
26;0
26;2,5
26;1,9
26;2,5
26;0
26;0
26;4,3
26;0
26;0
26;0
26;0
26;2,5
26;0
26;0
26;0
27;0
27;2,6
27;1,9
27;1,6
27;1,7
27;1,6
27;2,5
27;0
27;2,8
27;3,3
27;0,3
27;2
27;1,9
27;1,5
27;0,2
27;0
27;5,1
27;0
27;0
27;0,3
27;0
28;3
28;1,3
28;2,3
28;2,5
28;0
28;3,6
28;0,8
28;0,8
28;0
28;0,1
28;0
28;0,1
28;1
28;0,1
28;1
28;0
28;0
28;0
28;1,1
28;0,9
28;1,1
28;0,6
28;0
28;0
28;0
28;0
29;0,5
29;0
29;2,7
29;2,2
29;2,4
29;1,1
29;0
29;0
29;1,7
29;1,3
29;0
29;1,1
29;1,7
29;0
29;1,2
29;2,5
29;0
29;2,1
29;2,2
29;0
29;0
29;0
30;2,3
30;1,8
30;2,9
30;0
30;1,6
30;0,5
30;0
30;0,8
30;2
30;0,8
30;0
30;2,2
30;3
30;0
30;1,2
30;0
30;0,7
30;1,7
30;1,8
30;0
30;0
30;0
30;0
30;0
30;0,3
30;0
31;1,2
31;2,1
31;1,8
31;2,8
31;1,1
31;2,1
31;1,7
31;0,8
31;0
31;1,9
31;2
31;0,6
31;0
31;0
31;0,7
31;0
31;0,1
31;2
31;0
31;0
31;1,4
31;0,5
31;2,1
31;1
31;2
31;1,3
31;1,2
31;0
31;1,3
31;0
31;0
32;2
32;2
32;1,2
32;0,8
32;0,9
32;2,4
32;0,2
32;0,1
32;0,1
32;0,8
32;0,3
32;0
32;0
32;2
32;0,5
32;1,8
32;2,5
32;0,9
32;0
32;0
32;1,3
32;0
32;1,7
32;0
32;0
32;0
32;0
32;0
32;0
33;0
33;3,4
33;0,1
33;2,2
33;1,5
33;0,7
33;1,7
33;1,9
33;2,2
33;2,2
33;2,1
33;0
33;0,4
33;0
33;0
33;0
33;0,1
33;0
33;2,4
33;1,7
33;0
33;2,3
33;2
33;2,5
33;1,5
33;0
33;2
33;0
33;0
33;3,1
33;2,4
33;0
33;0
33;0
33;0
33;0
34;1,2
34;2,4
34;1,1
34;1,8
34;2,1
34;1,5
34;1,4
34;1,4
34;0
34;0
34;0
34;2
34;0
34;0,9
34;0,8
34;1,3
34;1,3
34;1,5
34;2
34;0
34;2,8
34;0
34;0,8
34;0
34;0
34;0
34;0
34;0,3
34;0,1
34;0
35;2,2
35;2,4
35;0
35;1,9
35;1,1
35;0
35;0,3
35;1
35;0,2
35;0,2
35;1,3
35;0,1
35;2,2
35;0
35;1,9
35;2
35;2
35;0,8
35;1
35;1,4
35;1,6
35;2
35;2,8
35;0,3
35;2,1
35;1,1
35;0
35;0
35;0
35;0,1
35;0,1
35;0
35;0
36;0,5
36;0,6
36;2
36;1,5
36;1
36;0,2
36;0,5
36;1,8
36;0,3
36;2,5
36;1,4
36;2
36;0
36;1,2
36;0
36;1,1
36;0
36;2,6
36;0
36;1,9
36;0,2
36;0
36;0
36;0
36;1,2
36;2,5
36;1,9
36;1,3
36;2,4
36;1,5
36;1,3
36;1,6
36;1,9
36;0
36;0
36;2,1
36;1,1
36;3
36;2,7
36;0
36;1,5
36;2
36;2,4
36;0
36;0
36;0
36;0
36;0,4
36;0
37;2,5
37;1
37;0
37;0
37;1,9
37;2
37;1,5
37;2
37;1,4
37;1,6
37;0
37;1,1
37;0
37;1,4
37;0,1
37;2,8
37;0
37;0
37;0
37;0,4
37;0
37;1,1
37;0
37;0
38;0,4
38;3
38;2
38;2,2
38;0,8
38;0,9
38;1,4
38;1,5
38;0
38;0,2
38;0,8
38;0
38;0
38;1,1
38;1,4
38;1,8
38;0
38;0,2
38;1,2
38;0,7
38;2,8
38;0
38;0
38;0
38;0
38;1,7
38;1,8
38;0
38;0,1
38;1,1
38;1,9
38;1,9
38;0,8
38;0
38;0,5
38;0
38;1,1
38;0
38;0,5
39;2
39;0,4
39;0,9
39;1,9
39;0,9
39;0
39;1,8
39;1,1
39;0,8
39;1,5
39;0
39;0
39;0,1
39;0,1
39;0
39;0
39;0,5
39;0,4
39;2,4
39;1,4
39;0,4
39;0
39;1,1
39;4,9
39;2,1
39;1
39;1,3
39;1,9
39;0
39;0
39;0,8
39;1,9
39;2
39;0
39;0,9
39;0
39;1,2
39;0
39;0
39;0
40;0
40;0,6
40;3,9
40;0
40;1,2
40;2,4
40;1
40;0,8
40;2,5
40;1,2
40;1
40;0,2
40;0,3
40;0,4
40;0,6
40;0
40;0,4
40;0
40;2,4
40;0,8
40;0
40;1,7
40;2,2
40;1,9
40;2
40;1,6
40;1,4
40;2,8
40;0
40;0
40;0
40;0
40;0
40;0
40;0
40;0
40;0,1
40;1,3
40;0
41;2,7
41;2,2
41;1,8
41;0,1
41;2,8
41;2
41;1,5
41;0,1
41;0
41;0
41;0
41;1,3
41;1,1
41;0,6
41;1
41;0
41;1,6
41;0,4
41;0,3
41;0
41;0,1
41;1,6
41;1,4
41;2,1
41;2,7
41;2,2
41;2,6
41;2,6
41;2,3
41;0
41;0
41;0
41;0
41;0
41;0
41;0
41;0
41;0
41;0
42;2,4
42;1,6
42;2,5
42;0
42;0,9
42;1,8
42;0,8
42;0,6
42;1,5
42;1,1
42;1,2
42;0
42;3,2
42;0
42;1,9
42;0,6
42;0,5
42;0,6
42;0,7
42;0
42;0
42;2,7
42;3,6
42;0,8
42;0
42;0
42;0
42;0
42;0
42;0
42;0
42;1,4
42;2,3
42;0,8
42;2,1
42;1,3
42;2,1
42;1,6
42;0
42;0
42;1,1
42;0
42;0,4
42;0,2
42;0,3
42;0
42;0
42;0,1
42;0
42;0
43;1,6
43;2,5
43;1,9
43;0,9
43;1,5
43;1,3
43;0,9
43;1,2
43;0,8
43;0,9
43;1
43;1,6
43;1,6
43;1,3
43;0
43;3,4
43;0
43;0
43;0,8
43;0,3
43;2,2
43;0
